Nombre De La Finca,Dpto,Municipio,Corregimiento,Vereda/Sector,Area (Has),Altura M.S.N.M.,T (°C),Pp (Mm/Año),Tipo Suelo,Pendiente,Nivel Tecnlogico,Tenencia del predio,Agua Propia, Acueducto,Energ Electrica,Gas Natural,E Internet,Analisis De Suelos,Cultivo,Variedad,Area Cultivada (Has),Produccion (Kg),% Al Mercado,Forma Venta,Sitio Venta,Forma Pago,Participacion En Produccion,Especie,Raza,Numero,Produccion,Participacion Produccion,Tipo Organización,Nombre De La Organización,Longitud (W),Latitud (N)
el reposo,valle,palmira,toche,teatino,1,1.780,20,1200,franco,plano,bajo,aparcero,si,no,si,no,no,no,habichuela,lago azul,1,20000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,0749","3,64203"
el vergel,valle,palmira,toche,teatino,1,1.680,20,1200,franco,plano,bajo,aparcero,si,no,si,no,no,no,frijol,lima,"0,5",750,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,07796","3,63435"
el llanito,valle,palmira,toche,cabuyal,1,1.670,20,1200,franco,plano,bajo,arrendamiento,si,no,si,no,no,no,cilantro,precoso,1,1500,100,directamente,cavasa,contado,no,no,no,no,no,no,no,no,"-76,07932","3,6277"
el crucero,valle,palmira,toche,cabuyal,1,1.670,20,1200,franco,ondulado,bajo,arrendamiento,si,no,si,no,no,no,repollo,glober master,"0,5",750,100%,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asocabuyal,"-76,07941","3,62619"
la esperanza,valle,palmira,toche,cabuyal,1,1.890,19,1200,franco,plano,bajo,aparcero,si,no,si,no,no,no,cilantro,precoso,"1,2",12000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,06956","3,62261"
vista hermosa,valle,palmira,toche,cabuyal,1,1.930,19,1200,franco,plano,bajo,propietario,si,no,si,no,no,no,cebolla cabezona,yellow granex,1,22000,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asocabuyal,"-76,06431","3,62282"
el llanito,valle,palmira,toche,cabuyal,1,1.830,19,1200,franco,plano,bajo,aparcero,si,no,si,no,no,no,cebolla cabezona,yellow granex,"1,3",26000,100%,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,07021","3,62346"
el arado,valle,palmira,toche,cabuyal,1,1.770,20,1200,franco,ondulado,bajo,propietario,si,no,si,no,no,no,habichuela,lago azul,1,20000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,07466","3,62366"
el tenjo,valle,palmira,toche,las salinas,1,1.700,20,1200,franco,ondulado,bajo,propietario,si,no,no,no,no,no,frijol,nima,"0,5",600,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,114944","3,610639"
el poso,valle,palmira,toche,las salinas,1,1.500,20,1200,franco,ondulado,bajo,arrendamiento,si,no,si,no,no,no,maiz,trasgenico,"0,6",700,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,123244","3,61421"
El Porvenir,Valle,Palmira,La Zapata,Llanito,"0,64",1205,24,1100,franco arcilloso,3 a 7%,Medio,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,"pic, pietran, landrace",20,12lech/parto,100%,si,"Jac, cmdr","-76,201573","3,524838"
la palmera,Valle del Cauca,Palmira,La Zapata,Llanito,"1,92",1195,24,1100,franco arcilloso,3 a 7%,bajo,Propietario,si,si,si,no,no,si,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,12 lech/parto,100%,no,x,"-76,204315","3,524915"
Las Palmas,Valle,Palmira,La Zapata,El Guabito,"0,1",1110,24,1100,franco arcilloso,0 a 3%,Medio,Propietario,no,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,"pic, pietran, landrace",14,14lech/parto,100%,no,x,"-76,21914","3,533375"
villa nidia,Valle del Cauca,Palmira,rozo,villa lenis,"0,64",988,25,1000,franco arcilloso,plano,Medio,propietario,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,12lech/parto,100%,no,x,"-76,390583","3,610417"
El encanto,Valle del Cauca,Palmira,rozo,la marina,"0,64",986,25,1000,franco arcilloso,plano,Medio,propietario,si,si,si,si,no,si,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,4,10lech/parto,100%,no,x,"-76,38166","3,5975"
la soledad,Valle del Cauca,Palmira,caluce,el Olivo,"1,57",1.437,22,1300,franco arcilloso,20%,Medio,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,20,10lech/parto,100%,si,Jac,"-76,183077","3,54537"
El Olivo,Valle del Cauca,Palmira,caluce,el Olivo,"0,64",1.402,22,1300,franco arcilloso,20%,Medio,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,8,10lech/parto,100%,si,jac,"-76,18259","3,543382"
el pedregal,Valle del Cauca,Palmira,caluce,el crucero,"0,5",1.376,22,1300,franco arcilloso,10%,Medio,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,no,x,"-76,186183","3,533788"
el mirador,Valle del Cauca,Palmira,potrerillo,20 de Julio,"0,02",1.292,23,1200,franco arcilloso,5%,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,si,jac ,"-76,198475","3,555478"
villa lolita,Valle del Cauca,Palmira,barrancas,turin,"0,6","1,082",25,1000,franco arcilloso,plano,bajo,arrendatario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,27,10lech/parto,100%,si,asobarrancas,"-76,243164","3,546013"
villa francia,Valle del Cauca,Palmira,barrancas,turin,"0,056","1,056",25,1000,franco arcilloso,plano,bajo,arrendatario,no,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,8 lech/parto,100%,si,asobarrancas,"-76,24361","3,545612"
el rebusque,Valle del Cauca,Palmira,barrancas,via ppal,"0,072",1.080,25,1000,franco arcilloso,plano,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,21,10lech/parto,100%,si,asobarrancas,"-76,245023","3,547995"
villa manantial,Valle del Cauca,Palmira,barrancas,via ppal,"0,0551",1.082,25,1000,franco arcilloso,plano,bajo,Propietario,no,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,4,10lech/parto,100%,si,asobarrancas,"-76,243193","3,545951"
c-58 la castañeda,Valle del Cauca,Palmira,barrancas,turin,"0,073",1.077,25,1000,franco arcilloso,plano,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,si,asobarrancas,"-76,243218","3,540446"
bella vista,Valle del Cauca,Palmira,potrerillo,la base,3,1.327,24,1000,franco arcilloso,10%,bajo,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,12,10lech/parto,100%,no,x,"-76,191585","3,5476"
cjon san emigdio,Valle del Cauca,Palmira,caluce,clljon san emigdio,"0,05",1.368,23,1100,franco arcilloso,15%,bajo,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,no,x,"-76,189482","3,541153"
las veraneras,Valle del Cauca,Palmira,barrancas,la orqueta,"0,96","1,073",25,1000,franco arcilloso,plano,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,8,12lech/parto,100%,si,asobarrancas,"-76,232018","3,535105"
el rosal,Valle del Cauca,Palmira,barrancas,el crucero,"0,12",1.083,25,1000,franco arcilloso,plano,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,20,10lech/parto,100%,no,x,"-76,238738","3,540848"
c-137,Valle del Cauca,Palmira,barrancas,el crucero,"0,24",1.071,25,1000,franco arcilloso,plano,bajo,arrendatario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,7,10lech/parto,100%,si,asobarrancas,"-76,239602","3,540307"
c-03,Valle del Cauca,Palmira,barrancas,pablo rojas,"0,085",1.083,25,1000,franco arcilloso,plano,bajo,Propietario,no,si,si,si,si,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,18,10lech/parto,100%,no,x,"-76,246603","3,549196"
c-226,Valle del Cauca,Palmira,barrancas,via ppal,"0,05",1.084,25,1000,franco arcilloso,plano,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,20,10lech/parto,100%,si,asobarrancas,"-76,241688","3,544449"
c-237,Valle del Cauca,Palmira,barrancas,via ppal,"0,08",1.088,25,1000,franco arcilloso,plano,bajo,arrendatario,no,si,si,si,si,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,16,13lech/parto,100%,no,x,"-76,24162","3,544406"
k6-330,Valle del Cauca,Palmira,la bolsa,via ppal,"0,065",1.092,25,1000,franco arcilloso,5%,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,14,10lech/parto,100%,no,x,"-76,23945","3,555531"
k6-376,Valle del Cauca,Palmira,la bolsa,via ppal,"0,1875",1.094,25,1000,franco arcilloso,5%,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,11,10lech/parto,100%,no,x,"-76,187552","3,539012"
Granja Lady,Valle del Cauca,Palmira,la bolsa,via ppal,"0,042",1.090,24,1000,franco arcilloso,5%,bajo,Propietario,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,10,10lech/parto,100%,si,"agroservi,jcj sas","-76,240265","3,555912"
los arreboles,Valle del Cauca,Palmira,rozo,la marina,"0,39",958,25,1000,franco arcilloso,plano,bajo,arrendatario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,4,8 lech/parto,100%,no,x,"-76,381873","3,593487"
El playon,Valle del Cauca,Palmira,potrerillo,via ppal,"0,05",1.254,23,1200,franco arcilloso,5%,bajo,Propietario,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,7,10lech/parto,100%,no,x,"-76,204285","3,554437"
La samaria,Valle del Cauca,Palmira,caluce,alto caluce,"0,02",1.513,22,1300,franco arcilloso,20%,bajo,Propietario,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,12lech/parto,100%,si,Asahipaz,"-76,177772","3,532571"
El Guayacan,Valle del Cauca,Palmira,tenjo ,bocatoma,"0,64",1.427,22,1300,franco arcilloso,10%,bajo,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,11,10lech/parto,100%,no,x,"-76,181678","3,527472"
Geraldinne,Valle del Cauca,Palmira,tenjo ,bocatoma,"0,08",1.421,22,1300,franco arcilloso,10%,bajo,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,si,asodiz,"-76,183895","3,528032"
Los Abuelos,Valle del Cauca,Palmira,barrancas,la orqueta,"0,05",1.062,25,1000,franco arcilloso,plano,bajo,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,12lech/parto,100%,si,porkcolombia,"-76,2251","3,54131"
c-200,Valle del Cauca,Palmira,barrancas,via ppal,"0,684",1.085,25,1000,franco arcilloso,plano,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,no,x,"-76,239255","3,541322"
Villa Isabel,Valle del Cauca,Palmira,potrerillo,via ppal,"0,26",1.232,23,1200,franco arcilloso,5%,bajo,Propietario,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,no,x,"-76,20489","3,554873"
x,Valle del Cauca,Palmira,guayabal,frente al colegio,"0,32",1.043,25,1000,franco arcilloso,plano,bajo,arrendatario,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,8,12lech/parto,100%,si,asobarrancas,"-76,265203","3,54511"
la base,Valle del Cauca,Palmira,potrerillo,los negros,"0,175",1.314,23,1200,franco arcilloso,5%,bajo,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,13,12lech/parto,100%,si,jac-potrerillo,"-76,191545","3,547942"
C-06 La estrella,Valle del Cauca,Palmira,caluce,via ppal,"0,96",1.370,22,1300,franco arcilloso,10%,bajo,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,16,10lech/parto,100%,no,x,"-76,188437","3,541643"
Villa Liliana,Valle del Cauca,Palmira,caluce,via ppal,"0,02",1.337,22,1300,franco arcilloso,10%,bajo,Propietario,no,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,no,x,"-76,188367","3,54083"
Campo Alegre,Valle del Cauca,Palmira,caluce,enseg plan vivienda,"1,5",1.396,22,1300,franco arcilloso,10%,bajo,Propietario,si,si,si,no,si,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,no,x,"-76,184598","3,536818"
el mirador,Valle del Cauca,Palmira,potrerillo,20 de Julio,"0,02",1.275,23,1200,franco arcilloso,5%,bajo,Propietario,no,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,10,10lech/parto,100%,no,x,"-76,198023","3,555947"
La Mia,Valle del Cauca,Palmira,potrerillo,via san emigdio,"0,315",1.253,23,1200,franco arcilloso,5%,bajo,Propietario,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Dupi,20,10lech/parto,50%,no,x,"-76,201608","3,553492"
C-121,Valle del Cauca,Palmira,agua clara ,la cancha,"0,08",1.027,25,1000,franco arcilloso,plano,bajo,arrendatario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,20,10lech/parto,50%,no,x,"-76,235732","3,502655"
San Remo,Valle del Cauca,Palmira,la buitrera,chontaduro,"0,05",1.142,24,1200,franco arcilloso,10%,bajo,Propietario,no,si,si,si,si,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,18,10lech/parto,100%,no,x,"-76,210113","3,490393"
Solo Rancho,Valle del Cauca,Palmira,la buitrera,Iracales,"0,04",1.327,24,1200,franco arcilloso,20%,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,no,x,"-76,201153","3,47991"
Villa Lina,Valle del Cauca,Palmira,la buitrera,Iracales,"0,83",1.329,24,1200,franco arcilloso,20%,bajo,Propietario,si,si,si,no,si,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,no,x,"-76,201757","3,480727"
Buenos Aires,Valle del Cauca,Palmira,potrerillo,via ppal av4#5-87,"0,15",1.265,23,1300,franco arcilloso,5%,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,180,"9,5lech/parto",100%,si,porkcolombia,"-76,201408","3,554295"
El Rosal,Valle del Cauca,Palmira,potrerillo,los negros,"0,0425",1.318,23,1300,franco arcilloso,5%,bajo,Propietario,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,12,9 lech/parto,100%,si,porkcolombia,"-76,191182","3,547095"
K6-59,Valle del Cauca,Palmira,potrerillo,la cancha,"0,084",1.253,23,1300,franco arcilloso,5%,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,10lech/parto,100%,no,x,"-76,200827","3,55333"
av4#8-146,Valle del Cauca,Palmira,potrerillo,via ppal,"0,06",1.263,23,1300,franco arcilloso,5%,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,9,10lech/parto,100%,no,x,"-76,199977","3,554062"
av4#8-174,Valle del Cauca,Palmira,potrerillo,via ppal,"0,04",1.265,23,1300,franco arcilloso,5%,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,5,12lech/parto,100%,no,x,"-76,198373","3,55406"
av4#4-72,Valle del Cauca,Palmira,potrerillo,20 de Julio,"0,015",1.297,23,1300,franco arcilloso,5%,bajo,Propietario,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,6,9 lech/parto,100%,si,pociagronim,"-76,198292","3,55465"
241,Valle del Cauca,Palmira,barrancas,via ppal,"0,05",1.073,25,1000,franco arcilloso,plano,bajo,arrendatario,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,cerdas de cria,Lxp,16,12 lech/parto,100%,no,x,"-76,242803","3,545815"
Gagolandia,Valle,Palmira,Barrancas,Principal,1,1.092,24,1000,fra-arc,Plano,Medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,60,5100kg,Propia,Asociacion,Asobarrancas,"-76,24528","3,548368"
No tiene,Valle,Palmira,Barrancas,Principal,0,1.076,24,1000,fra-arc,Plano,Bajo,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,25,2250kg,Propia,Asociacion,Asobarrancas,"-76,244838","3,544818"
No tiene,Valle,Palmira,Barrancas,Principal,0,1.078,24,1000,fra-arc,Plano,Bajo,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,30,2550kg,asociativa,no,no,"-76,244166","3,547777"
no tiene,Valle,Palmira,Barrancas,escondite,0,1.085,24,1000,fr-arc,plano,medio,familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,26,2340kg,Propia,no,no,"-76,23864","3,541702"
casa 237,Valle,Palmira,Barrancas,Principal,0,1.109,24,1000,fr-arc,plano,medio,familiar,no,Si,Si,Si,si,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,126,11970kg,familiar,no,no,"-76,24247","3,545555"
El duby,Valle,Palmira,Barrancas,Villa eddy,0,1.113,24,1000,fr-arc,Plano,Medio,Propia,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,cruce,120,10200Kg,propio,no,no,"-76,240833","3,541944"
No tiene,Valle,Palmira,Barrancas,Principal,0,1.072,24,1000,fr-arc,Plano,medio,propio,no,Si,SI,Si,no,no,no,no,no,no,no,no,no,no,no,porcino,cruce,77,7315kg,propio,no,no,"-76,246813","3,548937"
el rosal 2,Valle,Palmira,Barrancas,principal,0,1.079,24,1000,fr-arc,Plano,medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,100,9000kg,propio,no,no,"-76,239645","3,540602"
la esperanza,Valle,Palmira,Barrancas,Via principal,0,1.105,24,1000,fra-arc,Plano,medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,200,1800kg,familiar,no,no,"-76,187552","3,539012"
alferez real,Valle,Palmira,Barrancas,turin,0,1.082,24,1000,fra-arc,Plano,medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,200,18000kg,Propia,no,no,"-76,243333","3,540555"
El caney,Valle,Palmira,Barrancas,Crucero,0,1.099,24,1000,fra-arc,Plano,medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce ,51,4590kg,Propia,Asociacion,Asobarrancas,"-76,23944","3,540277"
La veranera,Valle,Palmira,Barrancas,Turin,1,1.093,24,1000,fra-arc,Plano,Medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,200,17000kg,familiar,Asociacion,Asobarrancas,"-76,2425","3,539167"
No tiene,Valle,Palmira,Barrancas,orqueta,0,1.092,24,1000,fra-arc,Plano,medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,47,4230,propio,no,no,"-76,232777","3,531389"
mancayo,Valle,Palmira,la bolsa,Via principal,0,1.095,24,1000,fran-arc,Plano,medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,cruce,102,9180kg,Propia,no,no,"-76,239335","3,555478"
las begonias,Valle,Palmira,la bolsa,principal,0,1.094,24,1000,fran-arc,Plano,medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,cruce,29,2610kg,Propia,no,no,"-76,23881","3,555482"
san luis,Valle,Palmira,la bolsa,via principal,0,1.136,24,1000,fran-arc,Plano,medio,propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,400,36000kg,Propia,no,no,"-76,1434","3,3323"
No tiene,Valle,Palmira,la zapata,guavito,0,1.127,22,1000,fra-arc,Plano,medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,48,4320,asociativa,no,no,"-76,249318","3,533375"
las palmas,Valle,Palmira,la zapata,el llanito,2,1.195,22,1000,fra-arc,Plano,Medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,cruce,28,2520,Propio,no,no,"-76,204265","3,524917"
el porvenir,Valle,Palmira,la zapata,el llanito,1,1.198,22,1000,fran-arc,Plano,medio,familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,porcinos,cruce,50,4500kg,Propia,no,no,"-76,201563","3,52482"
la soledad,Valle,Palmira,caluce,el olivo,2,1.570,22,1000,fran-arc,Plano,Medio,familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,100,90000kg,Propia,no,no,"-76,182593","3,543684"
no tiene,Valle,Palmira,caluce,barrancas,0,1.099,24,1000,fran-arc,pendiente,Medio,alquiler,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,25,2250kg,Propia,no,no,"-76,182593","3,543683"
villa gabriela,Valle,Palmira,caluce,el olivo,0,1.472,22,1000,fran-arc,pendiente,Medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,porcino,Cruce,70,6300kg,Propio,no,no,"-76,182438","3,543587"
el gran chaparral,Valle,Palmira,caluce,el olivo,0,1.446,24,1000,fran-arc,Plano,medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,50,4500kg,Propio,no,no,"-76,18433","3,554446"
la estrella,Valle,Palmira,caluce,Principal,0,1.350,24,1000,fran-arc,Plano,medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,cruce,46,4140kg,Propio,no,no,"-76,188373","3,54117"
porcicola el 20,Valle,Palmira,potrerillo,20 de julio,0,1.291,23,1000,fran-arc,pendiente,medio,asociativo,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,porcinos,cruce,58,5220kg,Propio,si,asoagronil,"-76,198085","3,55554"
cas 17-220,Valle,Palmira,Rozo,La marina,0,1.000,24,1000,fran-arc,Plano,Medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,25,2375KG,familiar,no,no,"-76,25502","3,355621"
Villa nidia,Valle,Palmira,Rozo,Villa lenis,1,974,24,1000,fran-arc,Plano,Medio,propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,28,2660Kg,Familiar,no,no,"-76,384857","3,609277"
Lady,Valle,Palmira,La bolsa,Via principal,0,1.081,24,1000,fran-arc,Plano,Medio,propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,30,2850Kg,Propio,no,no,"-76,239988","3,55553"
El playon,Valle,Palmira,potrerillo,Via principal,0,1.261,23,1000,fran-arc,Pendiente,Medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,25,2375Kg,familiar,no,no,"-76,20416","3,554638"
La samaria,Valle,Palmira,caluce,Alto caluce,0,1.515,23,1000,fran-arc,pendiente,Medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,25,2375,Propio,no,no,"-76,177803","3,532335"
El guayacan,Valle,Palmira,Caluce,Bogotana,1,1.445,23,1000,fran-arc,pendiente,Medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,25,2375,Propio,no,no,"-76,1814","3,52595"
Geraldin,Valle,Palmira,Caluce,Pamira,0,1.419,24,1000,fran-arc,pendiente,Medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,cerdos,cruce,28,2660,Propio,no,no,"-76,18375","3,528037"
no tiene,Valle,Palmira,Barrancas,orqueta,0,1.071,24,1000,fran-arc,Plano,Medio,asociativo,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,cerdos,cruce,31,2945,propio,no,no,"-76,23265","3,528037"
201,Valle,Palmira,Barrancas,Via principal,1,1.075,24,1000,fran-arc,Plano,Medio,Propio,no,Si,si,si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,30,2850,Propio,no,no,"-76,239318","3,541518"
Villa Isabela,Valle,Palmira,potrerillo,Via principal,0,1.240,23,1000,fran-arc,Plano,Medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,porcinos,cruce,41,2285,Propio,no,no,"-76,204878","3,55496"
no tiene,Valle,Palmira,Guayabal,Via principal,0,1,24,1000,fra-arc,plano,medio,medio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,porcino,Cruce,35,3395,Propio,no,no,"-76,26656","3,55496"
La base,valle,Palmira,potrerillo,los negros,6,1.323,22,1000,fr-arc,Plano,medio,asociativo,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,45,4275,Propio,no,no,"-76,191467","3,547803"
la estrella,Valle,Palmira,caluce,Via principal,0,1.354,23,1000,fra-arc,Plano,Medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,cruce,50,4750,Propio,no,no,"-76,188373","3,54167"
villa alba,Valle,Palmira,caluce,Via principal,1,1.350,23,1000,fra-arc,Plano,Medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,30,2850,Propio,no,no,"-76,188148","3,54117"
Calle 5#5-50,Valle,Palmira,caluce,Via principal,0,1.300,23,1000,fran-arc,Plano,Medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,27,2565,Propio,no,no,"-76,19806","3,5359"
Calle 6#2-20,Valle,Palmira,potrerillo,Via san emigdio,0,1.247,23,1000,fran-arc,Ondulado,Medio,Familiar,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,50,4750,familiar,no,no,"-76,201553","3,553338"
La chosita de caceres,Valle,Palmira,Agua clara,sector la cancha,0,1.059,24,1000,fran-arc,Plano,Medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,50,4750,Propio,no,no,"-76,235637","3,563113"
0k 708,Valle,Palmira,Buitrera,Iracales,0,1.323,23,1000,fran-arc,Ondulado,Medio,Propio,no,Si,Si,Si,no,no,no,no,no,no,no,no,no,no,no,Porcino,Cruce,20,1900,Propio,no,no,"-76,201903","3,479805"
